"","author","title","year","doi"
"125","Sajjad, Asif; Ali, Mudssar; Saeed, Shafqat; Bashir, Muhammad Amjad; Ali, Intazar; Khan, Khalid Ali; Ghramh, Hamed A.; Ansari, Mohammad Javed","Yearlong association of insect pollinator, Pseudapis oxybeloides with flowering plants: Planted forest vs. agricultural landscape",2019,"10.1016/j.sjbs.2018.02.019"
"126","Danner, Nadja; Haertel, Stephan; Steffan-Dewenter, Ingolf","Maize pollen foraging by honey bees in relation to crop area and landscape context",2014,"10.1016/j.baae.2014.08.010"
"127","Grab, Heather; Brokaw, Julia; Anderson, Elisabeth; Gedlinske, Lauren; Gibbs, Jason; Wilson, Julianna; Loeb, Greg; Isaacs, Rufus; Poveda, Katja","Habitat enhancements rescue bee body size from the negative effects of landscape simplification",2019,"10.1111/1365-2664.13456"
"128","Rundlof, Maj; Andersson, Georg K. S.; Bommarco, Riccardo; Fries, Ingemar; Hederstrom, Veronica; Herbertsson, Lina; Jonsson, Ove; Klatt, Bjorn K.; Pedersen, Thorsten R.; Yourstone, Johanna; Smith, Henrik G.","Seed coating with a neonicotinoid insecticide negatively affects wild bees",2015,"10.1038/nature14420"
"129","Yu, Dong Su; Kwon, Oh-Chang; Honggie, Kim?; Kim, Jeong Kyu","Nationwide Spatiotemporal Distribution of Some Selected Aculeata (Hymenoptera) in South Korea, based on Materials Collected with Malaise Trap in 2017 and 2018",2019,"10.13047/KJEE.2019.33.6.654"
"130","Sidhu, C. Sheena; Joshi, Neelendra K.","Establishing Wildflower Pollinator Habitats in Agricultural Farmland to Provide Multiple Ecosystem Services",2016,"10.3389/fpls.2016.00363"
"131","Minarro, Marcos; Prida, Eduardo","Hedgerows surrounding organic apple orchards in north-west Spain: potential to conserve beneficial insects",2013,"10.1111/afe.12025"
"132","Ravaiano, Samira Veiga; Barbosa, Wagner Faria; Ventura Tome, Hudson Vaner; de Oliveira Campos, Ludo Antonio; Martins, Gustavo Ferreira","Acute and oral exposure to imidacloprid does not affect the number of circulating hemocytes in the stingless bee Melipona quadrifasciata post immune challenge",2018,"10.1016/j.pestbp.2018.08.002"
"133","James, R. R.; McGuire, M. R.; Leland, J. E.","Susceptibility of Adult Alfalfa Leafcutting Bees and Honey Bees to a Microbial Control Agent, Beauveria bassiana",2012,"10.3958/059.037.0102"
"134","Olgun, Tugce; Everhart, Sydney E.; Anderson, Troy; Wu-Smart, Judy","Comparative analysis of viruses in four bee species collected from agricultural, urban, and natural landscapes",2020,"10.1371/journal.pone.0234431"
"135","Hladik, Michelle L.; Vandever, Mark; Smalling, Kelly L.","Exposure of native bees foraging in an agricultural landscape to current-use pesticides",2016,"10.1016/j.scitotenv.2015.10.077"
"136","Costa, L. M.; Grella, T. C.; Barbosa, R. A.; Malaspina, O.; Nocelli, R. C. F.","Determination of acute lethal doses (LD50 and LC50) of imidacloprid for the native bee Melipona scutellaris Latreille, 1811 (Hymenoptera: Apidae)",2015,"10.13102/sociobiology.v62i4.792"
"137","Ponisio, Lauren C.; M'Gonigle, Leithen K.; Kremen, Claire","On-farm habitat restoration counters biotic homogenization in intensively managed agriculture",2016,"10.1111/gcb.13117"
"138","Le Feon, Violette; Schermann-Legionnet, Agnes; Delettre, Yannick; Aviron, Stephanie; Billeter, Regula; Bugter, Rob; Hendrickx, Frederik; Burel, Francoise","Intensification of agriculture, landscape composition and wild bee communities: A large scale study in four European countries",2010,"10.1016/j.agee.2010.01.015"
"139","Saunders, Manu E.; Luck, Gary W.","Interaction effects between local flower richness and distance to natural woodland on pest and beneficial insects in apple orchards",2018,"10.1111/afe.12258"
"140","Hodgkiss, Dylan; Brown, Mark J. F.; Fountain, Michelle T.","The effect of within-crop floral resources on pollination, aphid control and fruit quality in commercial strawberry",2019,"10.1016/j.agee.2019.02.006"
"141","Alston, Diane G.; Tepedino, Vincent J.; Bradley, Brosi A.; Toler, Trent R.; Griswold, Terry L.; Messinger, Susanna M.","Effects of the insecticide phosmet on solitary bee foraging and nesting in orchards of Capitol Reef National Park, Utah",2007,"10.1603/0046-225X(2007)36[811:EOTIPO]2.0.CO;2"
"142","VESELY, V; PEROUTKA, M","AN EVALUATION OF THE RADICAL METHOD OF THE VARROA DISEASE",1984,"10.1051/apido:19840402"
"143","Soares Pires, Carmen Slvia; Silveira, Fernando Amaral; Cardoso, Carolina Ferreira; Sujii, Edison Ryotii; Paula, Debora Pires; Gouveira Fontes, Eliana Maria; da Silva, Joseane Padilha; Morais Rodrigues, Sandra Maria; Andow, David Alan","Selection of bee species for environmental risk assessment of GM cotton in the Brazilian Cerrado",2014,"10.1590/S0100-204X2014000800001"
"144","JOHANSEN, CA; MAYER, DF; EVES, JD; KIOUS, CW","PESTICIDES AND BEES",1983,"10.1093/ee/12.5.1513"
"145","Nocelli, R. C. F.; Soares, S. M. M.; Monquero, P. A.","EFFECTS OF HERBICIDES ON THE SURVIVAL OF THE BRAZILIAN NATIVE BEE Melipona scutellaris LATREILLE, 1811 (HYMENOPTERA: APIDAE)",2019,"10.1590/S0100-83582019370100156"
"146","Evans, Alexander N.; Llanos, Joseph E. M.; Kunin, William E.; Evison, Sophie E. F.","Indirect effects of agricultural pesticide use on parasite prevalence in wild pollinators",2018,"10.1016/j.agee.2018.02.002"
"147","PANKIW, T; JAY, SC","AERIALLY APPLIED ULTRA-LOW-VOLUME MALATHION EFFECTS ON COLONIES OF HONEY-BEES (HYMENOPTERA, APIDAE)",1992,"10.1093/jee/85.3.692"
"148","Malerbo-Souza, DT; Nogueira-Couto, RH","Efficiency of n-octyl-acetate, 2-heptanone and citronellal in repelling bees from Basil (Ocimum sellowii Labiatae)",2004,"10.1590/S1516-89132004000100016"
"149","Fournier, Alice; Rollin, Orianne; Le Feon, Violette; Decourtye, Axel; Henry, Mickael","Crop-Emptying Rate and the Design of Pesticide Risk Assessment Schemes in the Honey Bee and Wild Bees (Hymenoptera: Apidae)",2014,"10.1603/EC13087"
"150","Adhikari, Subodh; Burkle, Laura A.; O'Neill, Kevin; Weaver, David K.; Delphia, Casey M.; Menalled, Fabian","Dryland Organic Farming Partially Offsets Negative Effects of Highly Simplified Agricultural Landscapes on Forbs, Bees, and Bee-Flower Networks",2019,"10.1093/ee/nvz056"
"151","Hanula, James L.; Horn, Scott","Removing an invasive shrub (Chinese privet) increases native bee diversity and abundance in riparian forests of the southeastern United States",2011,"10.1111/j.1752-4598.2011.00131.x"
